BH,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,MAT,MAP,RS,RS_component,SPEI_min
135,Yulin,2009,1,38.77,110.37,1219,Fertilized,,Temperate,Grassland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816
136,Yulin,2009,1,38.77,110.37,1223,Fertilized,,Temperate,Grassland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816
137,Yulin,2009,1,38.77,110.37,1215,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816
138,Yulin,2009,1,38.77,110.37,1183,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816
139,Yulin,2009,1,38.77,110.37,1183,Fertilized,,Temperate,Grassland,Natural,Deciduous,8.4,437,204.35,Rh,-2.364418816
140,Yulin,2009,1,38.77,110.37,1183,Fertilized,,Temperate,Grassland,Natural,Deciduous,8.4,437,204.35,Rh,-2.364418816
141,Yulin,2009,1,38.77,110.37,1183,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816
142,Tianjiling Changsha,2007,1,28.1,113.02,75,None,None,Subtropical,Forest,Natural,Evergreen,17.2,1422,358,Rh,-2.353648344
143,Tianjiling Changsha,2008,1,28.1,113.02,75,None,None,Subtropical,Forest,Natural,Evergreen,17.2,1422,299,Rh,-1.575476128
144,Saihanba park,2011,3,42.41,117.25,1505,Plantation,Larix principis-rupprechtii plantation,Temperate,Forest,Managed,Deciduous,-1.4,450,317,Rh,-1.830176544
145,Saihanba park,2011,3,42.41,117.25,1505,Plantation,Larix principis-rupprechtii plantation,Temperate,Forest,Managed,Deciduous,-1.4,450,298,Rh,-1.830176544
146,Saihanba park,2011,3,42.41,117.25,1505,Plantation,Larix principis-rupprechtii plantation,Temperate,Forest,Managed,Deciduous,-1.4,450,262,Rh,-1.830176544
147,Lanzhou,2011,1,35.95,104.15,1966,Fertilized,CK,Temperate,Grassland,Managed,Deciduous,6.7,382,200.57,Rh,-1.949426103
148,Lanzhou,2011,1,35.95,104.15,1966,Fertilized,Low,Temperate,Grassland,Managed,Deciduous,6.7,382,228.57,Rh,-1.949426103
149,Lanzhou,2011,1,35.95,104.15,1966,Fertilized,High,Temperate,Grassland,Managed,Deciduous,6.7,382,314.1,Rh,-1.949426103
150,Saihanba National Forest Park,2011,3,42.412,117.2474,1505,Plantation,Larix principis-rupprechtii plantation,Boreal,Forest,Managed,Mixed,-1.4,450,266,Rh,-1.830018882
151,Saihanba National Forest Park,2011,3,42.412,117.2474,1505,Plantation,Larix principis-rupprechtii plantation,Boreal,Forest,Managed,Mixed,-1.4,450,301,Rh,-1.830018882
