BH,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,MAT,MAP,RS,RS_component,SPEI,LogRS
359,Forest Ecosystem Open Research Station of Changbai Mountains,2004,1,42.4,128.4666667,738,None,None,Temperate,Forest,Natural,Mixed,3.5,732,333,Ra,-2.232085963,2.522444234
367,Dinghuashan,2009,1,23.15,112.51,200,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1927,558.94,Ra,-2.073767784,2.747365191
368,Dinghuashan,2009,1,23.15,112.51,200,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1927,448.21,Ra,-2.073767784,2.651481542
369,Dinghuashan,2009,1,23.15,112.51,250,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1927,753.34,Ra,-2.073767784,2.876991028
370,Qinling,1998,1,33.38,108.33,,None,None,Subtropical,Forest,Natural,Evergreen,9,1000,627.72,Ra,-2.126151659,2.797765966
371,Qinling,1998,1,33.38,108.33,,None,None,Subtropical,Forest,Natural,Deciduous,9,1000,695.23,Ra,-2.126151659,2.842128504
374,Yulin,2009,1,38.77,110.37,1224,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,264.9,Ra,-2.364418816,2.423081958
375,Yulin,2009,1,38.77,110.37,1224,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,454.12,Ra,-2.364418816,2.657170629
376,Yulin,2009,1,38.77,110.37,1224,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,446.55,Ra,-2.364418816,2.649870094
377,Yulin,2009,1,38.77,110.37,1224,None,None,Temperate,Grassland,Natural,Deciduous,8.4,437,370.87,Ra,-2.364418816,2.569221704
378,Yulin,2009,1,38.77,110.37,1219,Fertilized,,Temperate,Grassland,Managed,Deciduous,8.4,437,268.69,Ra,-2.364418816,2.429251503
379,Yulin,2009,1,38.77,110.37,1223,Fertilized,,Temperate,Grassland,Managed,Deciduous,8.4,437,276.26,Ra,-2.364418816,2.441318007
380,Yulin,2009,1,38.77,110.37,1215,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,234.63,Ra,-2.364418816,2.370383541
381,Yulin,2009,1,38.77,110.37,1183,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,378.43,Ra,-2.364418816,2.577985558
382,Yulin,2009,1,38.77,110.37,1183,None,None,Temperate,Grassland,Natural,Deciduous,8.4,437,174.08,Ra,-2.364418816,2.240748878
383,Yulin,2009,1,38.77,110.37,1183,None,None,Temperate,Grassland,Natural,Deciduous,8.4,437,162.73,Ra,-2.364418816,2.211467624
384,Yulin,2009,1,38.77,110.37,1183,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,310.32,Ra,-2.364418816,2.491809767
385,Tianjiling Changsha,2007,1,28.1,113.02,75,None,None,Subtropical,Forest,Natural,Evergreen,17.2,1422,138,Ra,-2.353648344,2.139879086
411,Chibi,2011,1,29.7,113.88,160,None,None,Temperate,Forest,Natural,Evergreen,16.9,1429.5,1070,Ra,-2.061055228,3.029383778
412,Chibi,2011,1,29.7,113.88,158,None,None,Temperate,Forest,Natural,Evergreen,16.9,1429.5,1250,Ra,-2.061055228,3.096910013
413,Xianning city,2011,1,29.6,114.25,,Weed control,Herbicide,Temperate,Forest,Managed,Evergreen,17.1,1496.2,330,Ra,-2.162236476,2.51851394
414,Xianning city,2011,1,29.6,114.25,,Weed control,,Temperate,Forest,Managed,Evergreen,17.1,1496.2,275.45,Ra,-2.162236476,2.440042777
415,Huitong Experimental Station of Forest Ecology,2013,1,26.92,109.98,700,Plantation,,Subtropical,Forest,Managed,Evergreen,16.5,1200,696.31,Ra,-2.469855595,2.842802632
416,Huitong Experimental Station of Forest Ecology,2013,1,26.92,109.98,700,Plantation,,Subtropical,Forest,Managed,Evergreen,16.5,1200,688.75,Ra,-2.469855595,2.838061612
453,Yingtan Ecological Experimental Station,1999,1,28.26,116.93,,Rotation,,Subtropical,Cropland,Managed,Deciduous,17.6,1795,450,Rs,-2.281969769,2.653212514
454,Haibei Research Station,1998,1,37.53,101.25,3240,Grazing,2.55 sheep/ha,Temperate,Grassland,Managed,Deciduous,-1.7,560,555,Rs,-2.782881231,2.744292983
455,Haibei Research Station,1998,1,37.53,101.25,3240,Grazing,5.35 sheep/ha,Temperate,Grassland,Managed,Deciduous,-1.7,560,418,Rs,-2.782881231,2.621176282
456,Ecological Station of Red Soil (Yingtan),1999,1,28.26,116.93,,Rotation,millet¨Cbarley rotation,Subtropical,Cropland,Managed,Deciduous,17.6,1795,581,Rs,-2.281969769,2.764176132
457,Ecological Station of Red Soil (Yingtan),1999,1,28.26,116.93,,Rotation,millet¨Cbarley rotation,Subtropical,Cropland,Managed,Deciduous,17.6,1795,385,Rs,-2.281969769,2.58546073
458,Ecological Station of Red Soil (Yingtan),1999,1,28.26,116.93,,Rotation,millet¨Cbarley rotation,Subtropical,Cropland,Managed,Deciduous,17.6,1795,775,Rs,-2.281969769,2.889301703
480,Xinkou Experimental Forestry Centre-Xiaohu,2003,1,26.19,117.43,,None,None,Subtropical,Forest,Natural,Evergreen,19.1,1749,1246,Rs,-2.320547065,3.095518042
481,Xinkou Experimental Forestry Centre-Xiaohu,2003,1,26.19,117.43,,Plantation,,Subtropical,Forest,Managed,Evergreen,19.1,1749,843,Rs,-2.320547065,2.925827575
482,Xinkou Experimental Forestry Centre-Xiaohu,2003,1,26.19,117.43,,Plantation,,Subtropical,Forest,Managed,Evergreen,19.1,1749,399,Rs,-2.320547065,2.600972896
483,Xishuangbanna Station for Tropical Rain Forest Ecosystem Studies,2003,1,21.93,101.27,,None,None,Tropical,Forest,Natural,Evergreen,21.4,1557,1274,Rs,-2.066229255,3.105169428
